sectorid,summary,description,notes
169,Insurance & Asset Mgmt,"Global insurance, reinsurance, health, and investment management services",
172,Insurance & Tech,"Insurance brokerage, cybersecurity, payroll, and business solutions",
176,Technology & Retail,"E-commerce, cloud computing (AWS), digital media, logistics, and consumer electronics",
177,SaaS & Analytics,"AI-powered cloud platform for enterprise planning, forecasting, and scenario modeling",
180,Consulting & Talent,"Business transformation consulting and executive placement for finance, HR, IT, supply chain",
182,Healthcare & Insurance,"Private health insurance, care homes, dental, hospitals, and digital health services",
183,Beverages,"Global spirits manufacturer with 200+ brands including rum, gin, tequila, and whisky",
189,Consulting & Technology,"Digital transformation, cloud, AI, and IT services across industries",
193,Insurance & Risk,Specialty insurance underwriting and risk management in Lloyd’s market,
196,Startup & Investment Network,"Platform connecting startups, investors, and advisors",
202,Consulting & Fintech,"Financial services consulting, managed services, and fintech solutions",
206,Tech Education & Recruitment,"Training and placement for tech careers, focused on diversity and inclusion",
210,Technology & Infrastructure,Global data centers and digital infrastructure services,
213,Private Equity,Investment firm focused on acquiring and growing software companies,
216,Tech Training & Placement,Graduate and veteran training with placement in IT and business roles,
217,Media & Publishing,Global news and financial analysis through the Financial Times,
175,Information Services,Expert network connecting clients with industry specialists for primary research,
222,Pharmaceuticals & Healthcare,"Global biopharma company focused on vaccines, specialty medicines, and consumer healthcare",
224,Government,UK government department or agency,Context-specific
204,Legal Services,Law firm offering legal advisory and litigation services,
184,Banking,Industrial and Commercial Bank of China – global banking and financial services,
186,Banking & Investment,"Global banking, asset management, and investment services",Variant spelling
239,Technology & Data,"Data engineering, architecture, and digital transformation consulting",
244,IT Services & Infrastructure,"Managed IT services, cloud, and infrastructure modernization",
179,Insurance & Investment,"Life insurance, pensions, and investment management",
212,Financial Infrastructure,"London Stock Exchange Group – capital markets, data, and analytics",
250,Toys & Entertainment,Global toy manufacturer and entertainment brand,
256,Consulting & Risk,"Professional services in risk, strategy, and human capital",
201,Consulting & Professional Services,"Audit, tax, consulting, and advisory services globally",
280,Technology & AI,"AI-driven decision intelligence platform for financial crime, risk, and data analytics",
286,Consulting & Advisory,Strategic advisory for startups and growth-stage tech companies,
298,Banking & Fintech,Digital challenger bank offering personal and business accounts,
299,Investment Services,"Global custody, fund administration, and investment servicing",
190,Fintech,Online payments infrastructure and financial services for businesses,Context-specific
301,Insurance & Reinsurance,Global reinsurance and insurance solutions provider,
303,Unknown,,Insufficient public information
227,Recruitment & Tech Services,"IT staffing, workforce solutions, and tech consulting",
170,Consulting & Tech,"Consulting for transformation, cybersecurity, and tech delivery in financial services",
174,Consulting,"Consulting for strategy, innovation, and digital transformation",Context-specific
240,Investment Management,Investment management services,Likely Columbia Threadneedle
188,Investment Banking,"Global investment banking, wealth management, and asset management",Duplicate name
163,Recruitment,Recruitment for financial services and technology roles,Variant spelling
223,Technology,Tech solutions and services,Limited public info
258,Payments & Technology,Global payments technology and financial services,
185,Banking & Finance,"US-based banking, lending, and investment services",Variant spelling
167,Executive Search,Global executive search and talent advisory firm,Limited public info
229,Insurance,Global insurance solutions for individuals and businesses,
339,Test/Development,Test and development organizations,
340,Under NDA,Organizations under non-disclosure agreement,
